Produktname,Kategorie,Beschreibung,Bilder,Allergien,Scharf,Knoblauchintensität,Ernährungsform,Preiseinheit,Preis,Saisonal,Verfügbarkeitszeitraum,Mindesthaltbarkeit
Gefüllte Pepaco,Antipasti & Gemüse, mit Käse,,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,
Toscana/Pane,Brot,mit Natur-Sauerteig,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"0,98",Nein,,
Pomodori Toscano,Brot,mit Natur-Sauerteig,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"0,98",Nein,,
Walnuss Toscano,Brot,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"0,98",Nein,,pre-order
Oliven Toscano,Brot,mit Natur-Sauerteig,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"0,98",Nein,,
Tzatziki,Joghurt,,,,Nein,mit Knoblauch,Milchprodukt,100 Gramm,"2,5",Nein,,3 Tage
Weiße Bohnen,Antipasti & Gemüse,Gebacken mit Tomatensauce,,,Nein,ohne Knoblauch,Vegan,100 Gramm,3,Nein,,3 Tage
Weinblätter,Antipasti & Gemüse,gefüllt mit Reis,,,Nein,ohne Knoblauch,Vegan,Stück,"0,90",Nein,,3 Tage
Bohnen-Rolle,Rolle,"mit griech. Bohnen, Melansane, Tomatensauce",,,Nein,Hauch Knoblauch,Vegan,Stück,"3,8",Nein,,
Feige-Hummus,Hummus,mit Kichererbsen,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,8",Nein,,
Korsischer Schafskäse,Käse,"mit Knoblauch und Chili, Fett i. Tr. 43%",,,Scharf,mit Knoblauch,Milchprodukt,100 Gramm,"3,6",Nein,,5 tage
Griechisches Schafskäse (Natur),Käse,"cremig nature, Fett i. Tr. 43%, unter Mitverwendung von Ziegenkäse",,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"3,6",Nein,,5 tage
Griechischer Schafskäse,Käse,"mit Kräutermarinade, Fett i. Tr. 43%",,,Nein,ohne Knoblauch,Milchprodukt,100 Gramm,"3,8",Nein,,5 Tage
Griechischer Schafskäse,Käse,"mit Knoblauch und Chili Marinade, Fett i. Tr. 43%",,,Scharf,mit Knoblauch,Milchprodukt,100 Gramm,"3,8",Nein,,5 Tage
Chili-Cranberry Creme,Frischkäse-Cremes,süß-scharf,,,leicht Scharf,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,3 Tage
Ananas-Curry Creme,Frischkäse-Cremes,"mit Minze, würzig",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Ja,Sommer,3 Tage
Pomodori Creme,Frischkäse-Cremes,"Mediterran-Style, aromatisch, leicht würzig",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Ja,,3 Tage
Tzatziki Creme,Frischkäse-Cremes,,,,Nein,mit Knoblauch,Milchprodukt,100 Gramm,"4,8",Nein,,
Grüne griechische Oliven,Oliven,mit Knoblauch und Petersilie,,,Nein,mit Knoblauch,Vegan,100 Gramm,"3,9",Nein,,
Schwarze griechische Oliven,Oliven,mit Knoblauch und Petersilie,,,Nein,mit Knoblauch,Vegan,100 Gramm,"3,9",Nein,,
Spanische Zitronenoliven,Oliven,,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,9",Nein,,
Grüne griechische Oliven ,Oliven,"gefüllt mit Mandel und Knoblauch, Chili, Kräutern",,,Nein,mit Knoblauch,Vegan,100 Gramm,"3,9",Nein,,3 Tage
Griechische Oliven ,Oliven,"mit Paprika, Petersilie und Kräutern",,,Nein,ohne Knoblauch,Vegan,100 Gramm,"3,9",Nein,,5 Tage
Handgefüllte griechische Oliven,Oliven,mit Schafskäse,,,Nein,mit Knoblauch,Milchprodukt,100 Gramm,"4,9",Nein,,
Kichererbsen-Rolle,Rolle,"mit Kichererbsen, Houmous",,,Nein,ohne Knoblauch,Vegan,Stück,"3,8",Nein,,
Griechischer Krautsalat,Salate,leicht süß-säuerlich eingelegt,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"2,8",Nein,,3 Tage
Vollkorn Toscano,Brot,natürlichem Vollkornsauerteig,,,Nein,ohne Knoblauch,Vegan,100 Gramm,"0,98",Nein,,
Zitroneoliven Creme,Frischkäse-Cremes,"fruchtig, würzig",,,Nein,Hauch Knoblauch,Milchprodukt,100 Gramm,"4,8",Ja,Sommer,3 Tage
